Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-03-20,41971.31,42311.97,40929.38,41428.88,82944.255240559
2022-03-21,41452.56,41555.04,40486.97,41136.46,118200.9933895
2022-03-22,41136.45,43260.04,40895.96,42550,172727.87112048
2022-03-23,42551.26,42796.48,41772.41,42509.91,122132.12857911
2022-03-24,42509.91,44238.58,42415.94,43969.42,176689.8252927
2022-03-25,43965.3,45121.18,43605.16,44321.64,159271.13759765
2022-03-26,44317.22,44815.38,44089.61,44381.89,62727.970219037
2022-03-27,44383.71,46818.53,44383.71,46562.57,98360.387876166
2022-03-28,46585.86,48209.11,46367.67,47633.04,175628.36087639
2022-03-29,47657.79,48115.65,46903.64,47295.35,129731.65453621
2022-03-30,47290.72,47709.75,46637.73,47001.6,111133.89348914
2022-03-31,47001.6,47609.46,45532.69,45766.34,140262.57641513
2022-04-01,45770.91,46743.37,44213.26,46323.59,199448.46613731
2022-04-02,46323.59,47223.39,45641.87,46249.5,134158.64955702
2022-04-03,46249.5,46853.01,45546.24,46853.01,92369.151376488
2022-04-04,46950.51,47406,45131.54,46458.36,165397.84007605
2022-04-05,46462.99,47214.15,45469.75,45958.15,130478.19200957
2022-04-06,45958.15,46059.42,43182.89,43845.81,177194.68427027
2022-04-07,43845.81,43895.19,42731.61,43524.41,124660.41370044
2022-04-08,43524.42,43979.56,42463.63,42580.38,139968.66572974
2022-04-09,42580.39,42677.09,42119.77,42570.84,70375.908835866
2022-04-10,42570.83,43423.32,42450.54,42678.19,58617.964717718
2022-04-11,42736.23,42743.76,39316.05,39400.62,162068.43447963
2022-04-12,39411.06,40658.12,39211.76,39701.73,174822.66471373
2022-04-13,39701.74,41554.93,39568.95,41232.09,158234.29147021
2022-04-14,41232.1,41508.29,39560.91,39973.99,117891.46235857
2022-04-15,39974,40706.54,39774.36,40434.08,86488.474050828
2022-04-16,40434.09,40715.75,40008.01,40490.08,43821.91709887
2022-04-17,40518.42,40688.14,39837.3,40216.18,51000.721858463
2022-04-18,40216.19,41105.57,38544.43,40813.53,176726.77131351
2022-04-19,40813.54,41764.6,40583.19,41321.34,119928.19769233
2022-04-20,41321.33,42200.27,40903.23,41504.75,147269.71430365
2022-04-21,41504.75,42984.59,40551.5,40730.54,177687.73637389
2022-04-22,40730.53,40818.99,39190.42,39619.18,156601.38173389
2022-04-23,39623.13,39987.99,39288.93,39902.99,64826.191667012
2022-04-24,39902.99,39947.99,39138.06,39641.31,74621.514084464
2022-04-25,39641.3,40380.44,38217,40235.63,173203.00064134
2022-04-26,40235.63,40796.9,37788.9,38333.86,141381.55288437
2022-04-27,38333.86,39470.3,37745.59,39225.89,158391.71006621
2022-04-28,39225.88,40376.66,38888.33,39848.71,159955.43472589
2022-04-29,39853.51,39926.77,38175,38564.01,138893.47123432
2022-04-30,38564,38799.25,38159.41,38301.14,74145.170543732
2022-05-01,38301.14,38667.77,37388.48,38342.63,108034.69425942
2022-05-02,38349.99,39169.92,38057.52,38643.53,157688.09969895
2022-05-03,38643.54,38903.49,37513.87,37791.8,125718.43132371
2022-05-04,37791.8,40020,37627.38,39741.07,175568.69619323
2022-05-05,39741.07,39833.56,35567.21,36451.28,226361.59122619
2022-05-06,36451.28,36665.67,35313.95,35956.29,195912.1380848
2022-05-07,35955.5,36142.68,35088.99,35088.99,77454.298093899
2022-05-08,35200.55,35711.19,33723.12,34450.36,205301.05844803
2022-05-09,34450.35,34466.18,30321.94,30800.7,363847.3983021
2022-05-10,30832.33,32640.65,29778.98,30286.12,365751.75197123
2022-05-11,30224.28,32090.53,27673.87,28893.19,422933.31521999
2022-05-12,28893.52,30069.66,25474.1,28368.39,453763.64106645
2022-05-13,28359.35,30954.26,28273.07,29995.57,244098.13717564
2022-05-14,29995.57,30087.91,28602.53,29661.39,135335.79296955
2022-05-15,29662.78,31168.97,29443.71,31029.62,102786.94105891
2022-05-16,31035.47,31362.32,29140.76,30135.19,146565.86900885
2022-05-17,30130.79,30718.62,29440.39,30512.09,142248.66996353
2022-05-18,30512.08,30652.61,28714.62,29152.05,159085.33918495
2022-05-19,29171.18,30506.4,28635.46,30245.95,157052.09067488
2022-05-20,30248.67,30715.4,28692.65,29148.57,168142.43798707
2022-05-21,29148.41,29617.34,28916.11,29314.4,82741.023185976
2022-05-22,29314.4,30271.91,29218.83,29981.68,95114.707985361
2022-05-23,29981.69,30632.08,29025.13,29311.11,175694.14516355
2022-05-24,29308.18,29610.18,28644.72,29548.3,155458.12016193
2022-05-25,29548.49,30190.48,29264.84,29789.19,158267.02073552
2022-05-26,29789.19,29853.75,28001.36,29546.38,188028.8931454
2022-05-27,29546.37,29639.96,28253.27,28690.59,190819.49854958
2022-05-28,28689.98,29174.05,28413.3,28983.51,92341.6292478
2022-05-29,28983.52,29445.62,28812.96,29203.48,70790.219745918
2022-05-30,29203.48,32183.03,29144.67,31780.48,197951.56722908
2022-05-31,31785.72,32373.08,31202.97,31682.33,151903.20692932
2022-06-01,31695.58,31957.22,29343.6,29564.09,160502.24494003
2022-06-02,29566.3,30381.17,29490.48,30340.05,128325.18359632
2022-06-03,30340.05,30674,29312.42,29786.17,141483.10110031
2022-06-04,29781.18,29923.73,29460.24,29823.65,60804.227029051
2022-06-05,29823.66,30157.82,29519.07,29937.06,60787.889680281
2022-06-06,29937.06,31738.63,29846.94,31462.1,151621.82594326
2022-06-07,31462.1,31554.43,29195.76,31383.37,163947.55565841
2022-06-08,31375.78,31467.59,29859.26,30404.47,138566.12953118
2022-06-09,30404.46,30673.6,29945.52,30113.99,60722.003521371
2022-06-10,30113.98,30337.31,28840.37,29162.63,147495.14910194
2022-06-11,29161.42,29407.62,28069.28,28528.78,161201.0669448
2022-06-12,28528.75,28651.13,26859.64,27335.68,219347.16003507
2022-06-13,27335.69,27415.34,22567.1,23031.69,582258.07846134
2022-06-14,23026.94,23138.01,20822.52,21463.24,414914.52847256
2022-06-15,21481.48,22416.6,20079.73,22157.83,309218.45957221
2022-06-16,22188.27,22548.09,20724.52,20985.89,254703.10950646
2022-06-17,20435.06,21334.3,20218.87,20533.07,181375.66229864
2022-06-18,20531.67,20750.43,17598.97,18494.65,294996.07553501
2022-06-19,18507.77,20660.83,17936.1,20369.12,337974.39976844
2022-06-20,20375.35,21045.74,19616.48,20395.99,282495.70840642
2022-06-21,20395.98,21700.63,20241.71,20950.45,287650.75234693
2022-06-22,20949.83,20979,19756.52,19985.28,254344.08394929
2022-06-23,19987.84,21098.13,19870.84,20667.06,233305.60368542
2022-06-24,20667.06,21430.72,20662.98,21295.54,161899.81546257
2022-06-25,21300.84,21588.76,20897.53,21495.68,119886.88685058
2022-06-26,21489.43,21867.21,21123.98,21368.59,96974.518097931
2022-06-27,21368.81,21519.4,20494.35,20784.58,195357.52916705
2022-06-28,20791.48,21192.79,20181.3,20368.15,188151.54978216
2022-06-29,20362.49,20429.54,19872.73,20270.78,171278.3580174
2022-06-30,20270.79,20300.31,18615.02,18797.22,190024.76642129
2022-07-01,18797.21,20870.08,18719.95,19375.68,204314.914462
2022-07-02,19375.68,19438.17,18980.36,19332.02,122710.86097327
2022-07-03,19332.02,19614.24,18773.57,19279.71,60993.419386265
2022-07-04,19275.82,20095.2,19030.37,19934.81,180010.45359579
2022-07-05,19934.81,20723.87,19283.87,20350.7,271368.13105697
2022-07-06,20355.58,20455.52,19746.55,20332.51,209482.8387953
2022-07-07,20332.52,21820.67,20249.95,21654.4,243838.43003894
2022-07-08,21655.55,22487.01,21177.29,21706.84,574828.99071315
2022-07-09,21682.01,21956.84,21312.39,21695.82,292207.84419964
2022-07-10,21696.27,21737.14,20647.12,21022.87,242523.93229971
2022-07-11,21022.71,21022.79,20202.1,20224.12,239060.61694751
2022-07-12,20220.42,20221.75,19256.79,19328.69,321339.15021135
2022-07-13,19330.46,20091.83,18910.32,19908.88,569281.25320866
2022-07-14,19906.2,20884.67,19611.47,20468.05,505552.55984385
2022-07-15,20465.93,21185.77,20371.51,20960.89,453813.84960227
2022-07-16,20959.7,21566.33,20473.49,21190.78,315759.09703217
2022-07-17,21192.75,21658.91,20823.61,21016.7,335418.50642737
2022-07-18,21023.91,22767.29,20748.37,21653.39,663913.44965126
2022-07-19,21656.23,23804.05,21554.5,23656.48,763241.71484832
2022-07-20,23651.83,24275.24,22927.04,23608.53,761438.14960399
2022-07-21,23608.2,23639.89,22344.15,23212.42,597651.18698106
2022-07-22,23213.31,23761.44,22510.5,22739.13,568503.38234979
2022-07-23,22746.31,22998.33,21946.39,22249.04,384014.53155606
2022-07-24,22245.49,22906.95,22235.77,22811.49,353999.72409802
