Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-01,128.79,132.9,128.51,130.35,0
2020-01-02,130.32,130.68,126.58,127.53,0
2020-01-03,127.53,134.83,126.01,133.19,0
2020-01-04,133.2,135.85,132.81,134.27,0
2020-01-05,134.27,138.38,133.97,135.01,0
2020-01-06,135.01,143.62,134.3,143.19,0
2020-01-07,143.18,145.13,139.07,142.21,0
2020-01-08,142.21,147.86,137.19,140.4,0
2020-01-09,140.38,141.43,135.48,137.67,0
2020-01-10,137.67,145,135.53,142.86,0
2020-01-11,142.88,147.91,142.09,143.16,0
2020-01-12,143.32,145.71,141.91,145.49,0
2020-01-13,145.49,146.96,142.35,144.11,0
2020-01-14,144.11,170.05,143.7,164.47,0
2020-01-15,164.03,171.46,159.16,166.64,0
2020-01-16,166.65,167.17,158.77,164.02,0
2020-01-17,164.05,174.06,162.21,171.63,0
2020-01-18,171.62,179.16,165.14,176.81,0
2020-01-19,176.89,177.81,161.67,165.84,0
2020-01-20,165.86,169.23,161.22,167.8,0
2020-01-21,167.62,169.8,164.96,169.14,0
2020-01-22,169.14,171.02,165.77,167.3,0
2020-01-23,167.29,167.85,159.03,162.9,0
2020-01-24,162.9,164.21,155.37,162.8,0
2020-01-25,162.79,163.63,157.7,161.15,0
2020-01-26,161.05,167.79,159.43,166.97,0
2020-01-27,166.94,171.81,165.23,170.33,0
2020-01-28,170.3,174.44,169.66,173.99,0
2020-01-29,173.94,178.42,173.38,175.56,0
2020-01-30,175.56,186.39,170.7,186.39,0
2020-01-31,186.49,186.64,175.21,181.81,0
2020-02-01,181.85,184.04,179.21,183.12,0
2020-02-02,183.07,193.38,179.32,189.4,0
2020-02-03,189.41,195.21,186.75,189.29,0
2020-02-04,189.29,191.4,184.61,188.69,0
2020-02-05,188.7,207.72,187.86,204.59,0
2020-02-06,204.6,216.13,201.16,211.25,0
2020-02-07,211.22,224.12,210.86,221.89,0
2020-02-08,221.92,227.85,213.41,224.14,0
2020-02-09,224.14,230.55,223.06,227.8,0
2020-02-10,227.77,229.38,216.84,223.32,0
2020-02-11,223.32,239.53,218.08,237.83,0
2020-02-12,237.83,275.17,236.39,268.44,0
2020-02-13,268.37,277.34,256.63,266.2,0
2020-02-14,266.25,285.19,260.26,283.78,0
2020-02-15,283.73,288.48,262.45,267.45,0
2020-02-16,267.45,273.77,237.54,254.99,0
2020-02-17,255.37,263.27,243.08,261.36,0
2020-02-18,261.27,286.23,259.53,281.1,0
2020-02-19,281.12,286.75,254.06,264.77,0
2020-02-20,264.78,264.89,245.92,259.62,0
2020-02-21,259.61,268.48,254.47,264.06,0
2020-02-22,264.06,267.01,257.14,262.42,0
2020-02-23,262.42,275.45,261.32,273.52,0
2020-02-24,273.28,278,257.17,263.94,0
2020-02-25,263.93,266.35,245.49,251.94,0
2020-02-26,251.99,251.99,216.04,225.82,0
2020-02-27,225.63,238.17,210.35,228.75,0
2020-02-28,228.67,234.64,214.02,229.59,0
2020-02-29,230.01,233.35,221.62,223.45,0
2020-03-01,223.53,227.9,212.71,218.95,0
2020-03-02,219,234.65,216.2,231.15,0
2020-03-03,231.03,232.92,220.37,224.39,0
2020-03-04,224.4,228.79,220.86,223.59,0
2020-03-05,223.62,234.56,223.62,229.12,0
2020-03-06,229.05,241.73,227.01,240.54,0
2020-03-07,240.59,252.66,237.12,240.58,0
2020-03-08,240.58,240.67,204.29,204.61,0
2020-03-09,204.53,209.86,190.71,199.37,0
2020-03-10,199.36,206.33,196.17,203.28,0
2020-03-11,203.23,203.26,182.06,195.04,0
2020-03-12,194.75,195.82,125.26,127.06,0
2020-03-13,127.22,143.17,90.29,134.29,0
2020-03-14,134.39,138.25,123.32,124.97,0
2020-03-15,124.87,133.2,120.31,123.72,0
2020-03-16,123.57,125.14,101.35,107.89,0
2020-03-17,107.91,121.09,107.43,118.36,0
2020-03-18,118.25,118.94,110.49,116.58,0
2020-03-19,116.58,143.1,115.82,140.53,0
2020-03-20,140.48,152.89,116.78,132.27,0
