Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2022-06-01,1.07332,1.0739,1.06273,1.06527
2022-06-02,1.06527,1.07503,1.06454,1.07479
2022-06-03,1.07481,1.07641,1.07051,1.07207
2022-06-06,1.07212,1.07519,1.06844,1.06949
2022-06-07,1.06943,1.07145,1.06528,1.07059
2022-06-08,1.07054,1.07484,1.06717,1.07172
2022-06-09,1.07171,1.07736,1.06113,1.06187
2022-06-10,1.06189,1.06423,1.05061,1.05188
2022-06-13,1.05146,1.05201,1.04004,1.04091
2022-06-14,1.04088,1.04834,1.03974,1.04157
2022-06-15,1.04157,1.05079,1.03593,1.04468
2022-06-16,1.04472,1.06015,1.03812,1.0556
2022-06-17,1.05551,1.056,1.04451,1.04939
2022-06-20,1.04891,1.05459,1.04747,1.05124
2022-06-21,1.05118,1.05827,1.05096,1.05356
2022-06-22,1.05361,1.06051,1.04698,1.05649
2022-06-23,1.05651,1.05811,1.04831,1.05224
2022-06-24,1.0524,1.05711,1.05125,1.0559
2022-06-27,1.05544,1.06149,1.05503,1.0585
2022-06-28,1.0585,1.06062,1.05037,1.05221
2022-06-29,1.05222,1.05357,1.04354,1.04417
2022-06-30,1.04413,1.04884,1.03829,1.04807
2022-07-01,1.04826,1.04826,1.03671,1.04291
2022-07-04,1.04222,1.04629,1.04176,1.04216
2022-07-05,1.04219,1.04489,1.02355,1.02655
2022-07-06,1.02669,1.0275,1.01621,1.01839
2022-07-07,1.01832,1.02213,1.01445,1.01625
2022-07-08,1.01631,1.01913,1.00736,1.01782
2022-07-11,1.0176,1.01839,1.0034,1.00381
2022-07-12,1.00388,1.00738,1.00003,1.00355
2022-07-13,1.00365,1.01204,0.99991,1.00568
2022-07-14,1.00569,1.00593,0.99527,1.00189
2022-07-15,1.00203,1.00979,1.00073,1.00824
2022-07-18,1.00833,1.02009,1.00792,1.01459
2022-07-19,1.01452,1.02686,1.01203,1.02283
2022-07-20,1.02283,1.02721,1.01558,1.01796
2022-07-21,1.01801,1.02778,1.01547,1.0228
2022-07-22,1.02281,1.02547,1.01312,1.02115
2022-07-25,1.02177,1.0258,1.01811,1.02212
